Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Location Latitude,Location Longitude,ID,"Which of the following charts is the best at answering the question examining the relationship of ""Home ownership rate"" and the ""number of households"" in this dataset?",Which of the scatterplot images is encoded in the following Parallel Coordinates plot?,"Please rank the following charts in descending order according to the Housing ""Units.""",How do you display Hello World! on the screen in Python?,"In this parallel coordinates plot, what is the correlation between Atomic Number and Atomic Weight?","We get the following chart on using filtering to remove rows with Median Family Income greater than 30,000.  What can we say about the Average Cost of the colleges that the students from those households go to?","In this parallel coordinates plot of a cars dataset, the user has selected only the cars that have 8 cylinders. 

Based on reading this chart, what would you say is the range for the HP (Horsepower) of 8-cylinder cars?","In this parallel coordinates plot of happiness metrics in various countries, the user has selected countries shown using the blue polylines?

What is the range of values for the Labor Union variable for the select countries?","Which of the following charts is the best to answer a question examining the relationship between ""Displacement"" and ""Weight in Lbs"" when exploring data about cars?","Sort the following parallel coordinates charts in descending order based on the ""AverageCost"" to attend the university.",Which of the following scatterplot images is encoded in the following parallel coordinates plot?,The following charts show two different visualization techniques (scatterplot matrix vs parallel coordinates) to visualize the same data. Please specify one advantage and one disadvantage for each technique?,Is this an example of a parallel coordinates plot?,"In this parallel coordinates plot, what is the correlation between Year and TotalPopulation?","In the parallel coordinates plot below, what is the correlation between the fat(g) and the carbohydrate (g)?","We get the following chart on using filtering to remove rows with Median Family Income less than 100,000.  What can we say about the Average Cost of the colleges that the students from those households go to?","In this parallel coordinates plot of a cars dataset, the user has selected only the cars that have displacement above 400. 

Based on reading this chart, what would you say is the range for the HP (Horsepower) of these cars?","In this parallel coordinates plot, the user has selected countries shown using the black polylines? Which island has the highest ""bill_length_mm"" value?",FA1_Score,FA2_Score,Score1,score2
12/30/23 6:57,12/30/23 7:15,IP Address,85.153.237.121,100,1094,TRUE,12/30/23 7:15,R_2sBgftxm4KPyqIh,37.0695,4005,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"ın parallel coordinate graph ıt can shown more feature than scatter plot but sometimes ıt can be see complicated.
on the other hand, in scatter plot the correlation between two feature show more clearly but ıt cant compare three or more feature ",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Biscoe,8,6,8,6,,
12/23/23 3:16,12/23/23 6:52,IP Address,149.34.215.16,100,12966,TRUE,12/23/23 6:52,R_41aUItMOHoSUVti,37.6799,4006,D,B,2 > 3 > 1 > 4,They are negatively correlated,They are negatively correlated,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"Scatterplot Matrix:
+More Correlations: We can visualize every correlation between every attribute 
-Demanding: Demand more space according to parallel coordinates and it will be harder to computing graphs especially when the data size is huge

Parallel Coordinates:
+Detecting Outliers:Since simliar attributes will be bounded together the outliers will be visible
-Complexity: More Data and more attributes will increase the complexity and decrease the readability.",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(150, 250)",Chinstrap,6,6,6,6,,
12/20/23 12:26,12/20/23 12:52,IP Address,212.253.186.142,100,1531,TRUE,12/20/23 12:52,R_2NLaQWtezUZpApr,37.0492,4007,D,A,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"Advantage of scatterplot matrix is multivariate analysis
Disadvantage of scatterplot matrix is limited variables

Advantage of parallel coordinates is high dimensional data
Disadvantage  of parallel coordinates is overplotting and clutter





",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,7,9,7,9,,
12/30/23 6:57,12/30/23 9:16,IP Address,213.14.159.125,100,8331,TRUE,12/30/23 9:16,R_4w1DJIcX99cwMCF,38.425,4009,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"In the first representation: A large area is covered, but analyzing the data is simpler. In the second case, the opposite situation exists.",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,8,9,8,9,,
12/29/23 10:35,12/29/23 11:12,IP Address,212.253.165.239,100,2195,TRUE,12/29/23 11:12,R_4itDl5pMi7vmUV8,36.9483,4010,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"scatterplot could show how multiple are close more effectively whereas it is hard to spot it in the parallel coordinates when dimensions are increased. We could add more dimensions and see correlation between a lot of different dimensions in parallel coordinates, it is hard to see correlation in different dimensions in a scatterplot matrix.
",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Chinstrap,8,6,8,6,,
12/28/23 5:56,12/28/23 6:05,IP Address,37.154.98.3,100,565,TRUE,12/28/23 6:05,R_4QFx3P4Z9KK8MjV,36.2073,4012,B,D,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from low Median Family Income families generally go to colleges that have a High Average Cost,"(0, 240)","(4, 64)",B,C > B > A > D,D,its make easy to see correlation  than scatterplot and we can read easily their value of any attribute,They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(150, 250)",Chinstrap,4,6,4,6,,
12/20/23 12:27,12/20/23 12:48,IP Address,159.146.30.251,100,1295,TRUE,12/20/23 12:48,R_2FP32sRVXqr2Zei,41.0551,4014,D,A,2 > 3 > 1 > 4,They are positively correlated,Not sure,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"It is easier to understand the relationship between dimesions, but more difficult to detect precise values",They are negatively correlated,They are positively correlated,They are negatively correlated,"Students from high Median Family Income families have a high Median Debt (greater than 30,000)","(175, 230)",Dream,6,6,6,6,,
12/31/23 12:50,12/31/23 13:02,IP Address,185.219.178.227,100,729,TRUE,12/31/23 13:02,R_4OpLD8al1Alkrsf,36.9874,4015,D,B,2 > 3 > 1 > 4,Not sure,They are negatively correlated,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,C,every category can be seen clearly in scatter matrix. For parallel coordinates general correlation can be seen,They are positively correlated,They are negatively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(150, 300)",Chinstrap,6,4,6,4,,
12/25/23 6:07,12/25/23 6:43,IP Address,178.246.65.2,100,2152,TRUE,12/25/23 6:43,R_4QrjKlCGKc317J9,37.0695,4016,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"The advantage of a scatterplot matrix is ​​that we see the regions where the data is dense.
The disadvantage of a scatterplot matrix is when there are more than two variables, the graph can become very complex and we need to draw a lot of graphs.

The advantage of the parallel coordinate chart is that we see the correlation of the data and the data density at the same time.

A disadvantage of parallel coordinate charts is that too many variables or lines may cause confusion when reading data. However, this disadvantage can be eliminated thanks to the filtering data feature. But, I think the data may still look very complex for some variables.

",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,8,9,8,9,,
12/31/23 1:03,12/31/23 1:20,IP Address,78.177.174.53,100,1042,TRUE,12/31/23 1:20,R_2rGIJ4w2LEGo00M,36.8466,4018,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from low Median Family Income families generally go to colleges that have a Low Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"Easier to use lots of variables in only one chart for parallel coordinates.
Seeing which data belongs to which can be difficult.
For a scatter plot it's the opposite.",Not sure,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Chinstrap,8,6,8,6,,
